Aaron,Cynthia,G,"Court of Appeal, Fourth District"
Abbott,David,W,Sacramento County Superior Court
Abdallah,George,None,San Joaquin County Superior Court
Abdallah,George,None,San Joaquin County Superior Court
Abzug,Michael,D,Los Angeles County Superior Court
Acero,George,Albert,Sacramento County Superior Court
Acero,George,Albert,Sacramento County Superior Court
Aceves,Efrain,M,Los Angeles County Superior Court
Acquisto,Stephen,P,Sacramento County Superior Court
Acquisto,Stephen,P,Sacramento County Superior Court
Adams,Charles,F,Santa Clara County Superior Court
Adams,Charles,F,Santa Clara County Superior Court
Adams,John,S,Orange County Superior Court
Adams,John,S,Orange County Superior Court
Adams,Rashida,None,Los Angeles County Superior Court
Adams,Rashida,None,Los Angeles County Superior Court
Adams,Verna,A,Marin County Superior Court
Adams Jr.,Thomas,R,Santa Barbara County Superior Court
Adams Jr.,Thomas,R,Santa Barbara County Superior Court
Aenlle-Rocha,Fernando,None,Los Angeles County Superior Court
Agbayani,Antonino,J,San Joaquin County Superior Court
Agbayani,Antonino,J,San Joaquin County Superior Court
Agron,Joel,S,San Bernardino County Superior Court
Agron,Joel,S,San Bernardino County Superior Court
Aguirre,Frederick,P,Orange County Superior Court
Ahnn,Michelle,M,Los Angeles County Superior Court
Ahnn,Michelle,M,Los Angeles County Superior Court
Alarcon,Gregory,W,Los Angeles County Superior Court
Albers,Ronald,E,San Francisco County Superior Court
Alcala,Javier,None,Santa Clara County Superior Court
Alcala,Javier,None,Santa Clara County Superior Court
Aldrich,Richard,D,"Court of Appeal, Second District"
Alexander,Daniel,None,Los Angeles County Superior Court
Alexander,Erin,K,San Bernardino County Superior Court
Alexander,Erin,K,San Bernardino County Superior Court
Alexander,Rasheed,None,San Bernardino County Superior Court
Alksne,Lorna,A,San Diego County Superior Court
Allard III,Edward,P,San Diego County Superior Court
Alldredge,Brett,None,Tulare County Superior Court
Allen-Hill,Glenda,None,Fresno County Superior Court
Alloggiamento,Julia,None,Santa Clara County Superior Court
Almada,Manuel,Alejandro,Los Angeles County Superior Court
Almada,Manuel,Alejandro,Los Angeles County Superior Court
Almquist,John Jeffrey,None,Santa Cruz County Superior Court
Altamirano,Diane,B,Imperial County Superior Court
Alva,Jose,L,San Joaquin County Superior Court
Alva,Jose,L,San Joaquin County Superior Court
Alvarez,Claudia,C.,Orange County Superior Court
Alvarez,Claudia,C.,Orange County Superior Court
Alvarez,Donald,R,San Bernardino County Superior Court
Alvarez,Donald,R,San Bernardino County Superior Court
Alvarez,Frank,B,Fresno County Superior Court
Alvarez,Olga,None,San Diego County Superior Court
Alvarez,Olga,None,San Diego County Superior Court
Amador,Frank,None,Los Angeles County Superior Court
Amador,Robert,O,San Diego County Superior Court
Amador,Robert,O,San Diego County Superior Court
Ameral,Ann,Q,Stanislaus County Superior Court
Amerian,Michael,R,Los Angeles County Superior Court
Amerian,Michael,R,Los Angeles County Superior Court
Amin,Marsha,None,San Diego County Superior Court
Anderholt,L. Brooks,None,Imperial County Superior Court
Anderle,Thomas,P,Santa Barbara County Superior Court
Anderson,Johnnetta,E,Riverside County Superior Court
Anderson,Johnnetta,E,Riverside County Superior Court
Anderson,Marla,O,Monterey County Superior Court
Anderson,Matthew,S,Orange County Superior Court
Anderson,Matthew,S,Orange County Superior Court
Anderson,Thomas,M,Nevada County Superior Court
Anderson,Thomas,M,Nevada County Superior Court
Anderson III,Clifford,R,Santa Barbara County Superior Court
Andler,Gail,None,Orange County Superior Court
Angel,Annrae,Marie,Santa Cruz County Superior Court
Apaloo,Khymberli,S,San Bernardino County Superior Court
Apkarian,Gassia,None,Orange County Superior Court
Apkarian,Isabel,None,Orange County Superior Court
Appel,Robin,None,San Joaquin County Superior Court
Appel,Robin,None,San Joaquin County Superior Court
Applegate,Robert,P,Los Angeles County Superior Court
Arakaki,Akemi,D,Los Angeles County Superior Court
Arakaki,Akemi,D,Los Angeles County Superior Court
Arand,Mary,E,Santa Clara County Superior Court
Arand,Mary,E,Santa Clara County Superior Court
Arax,Brian,M,Fresno County Superior Court
Archuleta,Debra,None,Los Angeles County Superior Court
Arguelles,James,P,Sacramento County Superior Court
Arian,Lee,None,Los Angeles County Superior Court
Armand,Jason,Michael,Riverside County Superior Court
Armendariz,Lucy,M,Los Angeles County Superior Court
Armendariz,Maria,None,Los Angeles County Superior Court
Armour,Carlos,O,San Diego County Superior Court
Armour,Carlos,O,San Diego County Superior Court
Arnold,Mark,None,Los Angeles County Superior Court
Arnold,Mark,None,Los Angeles County Superior Court
Aronson,Brian,R,Sutter County Superior Court
Aronson,Richard,None,"Court of Appeal, Fourth District"
Arroyo,Jacqueline,M,Santa Clara County Superior Court
Arroyo,Jacqueline,M,Santa Clara County Superior Court
Arthur,Craig,E,Orange County Superior Court
Asberry,Irma,P,Riverside County Superior Court
Asberry,Irma,P,Riverside County Superior Court
Ash,Carol,K,Merced County Superior Court
Ash,Carol,K,Merced County Superior Court
Ashby,David,None,Sutter County Superior Court
Ashmann-Gerst,Judith,M,"Court of Appeal, Second District"
Ashvanian,Armenui,A,Los Angeles County Superior Court
Ashvanian,Armenui,A,Los Angeles County Superior Court
Ashworth,Vicki,L,El Dorado County Superior Court
Athanasiou,Kirk,None,Contra Costa County Superior Court
Athanasiou,Kirk,None,Contra Costa County Superior Court
Austin,Brian,None,Madera County Superior Court
Austin,Steven,None,Contra Costa County Superior Court
Averill,Shelly,J,Sonoma County Superior Court
Avila,Wendy,None,Kern County Superior Court
Awoniyi,Bunmi,O,Sacramento County Superior Court
Awoniyi,Bunmi,O,Sacramento County Superior Court
Ayers,Nancy,L,Ventura County Superior Court
Ayers,Nancy,L,Ventura County Superior Court
Ayoob,Donald,J,San Mateo County Superior Court
Babineau,Kelly,L.,Nevada County Superior Court
Bacal,Katherine,None,San Diego County Superior Court
Bacal,Katherine,None,San Diego County Superior Court
Bacciarini,Mark,V,Merced County Superior Court
Bacciarini,Mark,V,Merced County Superior Court
Bachner,Monica,L,Los Angeles County Superior Court
Bacigalupo,Paul,A,Los Angeles County Superior Court
Bacigalupo,Paul,A,Los Angeles County Superior Court
Back,Brian,J,Ventura County Superior Court
Badhan,Rita,Linda,Los Angeles County Superior Court
Badhan-Smith,Neetu,None,Los Angeles County Superior Court
Badhan-Smith,Neetu,None,Los Angeles County Superior Court
Bae,Judy,S,San Diego County Superior Court
Bae,Judy,S,San Diego County Superior Court
Baelly,Paul,W,Ventura County Superior Court
Baelly,Paul,W,Ventura County Superior Court
Bailey,Julian,W,Orange County Superior Court
Bailey,Julian,W,Orange County Superior Court
Bailey,Steven,C,El Dorado County Superior Court
Baio,Rocky,J,Ventura County Superior Court
Baio,Rocky,J,Ventura County Superior Court
Baker,Lamar,W,"Court of Appeal, Second District"
Baker,Stephen,H,Shasta County Superior Court
Balderrama,Lorenzo,R,San Bernardino County Superior Court
Ballinger,Raima,H,Sonoma County Superior Court
Balonon,Eugene,L,Sacramento County Superior Court
Baltodano,Hernaldo,J,San Luis Obispo County Superior Court
Baltodano,Hernaldo,J,"Court of Appeal, Second District"
Bamattre-Manoukian,Patricia,None,"Court of Appeal, Sixth District"
Banke,Kathleen,M,"Court of Appeal, First District"
Banks,Andrew,P,Orange County Superior Court
Banuelos,Blanca,None,San Joaquin County Superior Court
Banuelos,Blanca,None,San Joaquin County Superior Court
Barajas,Amy,Zois,Riverside County Superior Court
Barclay,Francis,W,Modoc County Superior Court
Barela,Henry,T,Los Angeles County Superior Court
"Barmann, Jr.",Bernard,None,Kern County Superior Court
Barnes,Craig,Scott,Los Angeles County Superior Court
Barnes,Craig,Scott,Los Angeles County Superior Court
Barnes,Steven,D,Kings County Superior Court
Barnum,Kenneth,P,Santa Clara County Superior Court
Barnum,Kenneth,P,Santa Clara County Superior Court
Baron,Abigail,Marie,Los Angeles County Superior Court
Baron,Abigail,Marie,Los Angeles County Superior Court
Barrera,Mario,None,Los Angeles County Superior Court
Barrera,Mario,None,Los Angeles County Superior Court
Barrera II,Gus,C.,San Joaquin County Superior Court
Barrera II,Gus,C.,San Joaquin County Superior Court
Barreto,Fernanda,Maria,Los Angeles County Superior Court
Barreto,Fernanda,Maria,Los Angeles County Superior Court
Barrett,Grant,V,Calaveras County Superior Court
Barrett,Thang,None,Santa Clara County Superior Court
Barrett,Thang,None,Santa Clara County Superior Court
Barry,William,P,Los Angeles County Superior Court
Barton,Jeffrey,B,San Diego County Superior Court
Barton,Jeffrey,B,San Diego County Superior Court
Basha,Steven,M,Yolo County Superior Court
Baskett,Kim,None,Santa Cruz County Superior Court
Baskin,Barry,None,Contra Costa County Superior Court
Baskin,Barry,None,Contra Costa County Superior Court
Bauer,Ronald,None,Orange County Superior Court
Baytieh,Ebrahim,None,Orange County Superior Court
Baytieh,Ebrahim,None,Orange County Superior Court
Bean,Sandra,K,Alameda County Superior Court
Beatty,Cara,L,Shasta County Superior Court
Beauchesne,Roger,None,Stanislaus County Superior Court
Beaudet,Teresa,A,Los Angeles County Superior Court
Beckloff,Mitchell,L,Los Angeles County Superior Court
Becton,Diana,None,Contra Costa County Superior Court
Bedsworth,William,None,"Court of Appeal, Fourth District"
Beebe,Jed,Q,Santa Barbara County Superior Court
Beebe,Jed,Q,Santa Barbara County Superior Court
Beeman,Paul,L,Solano County Superior Court
Begen,Loretta,M,Stanislaus County Superior Court
Begert,Michael,I,San Francisco County Superior Court
Begert,Michael,I,San Francisco County Superior Court
Behan,Wendy,M.,San Diego County Superior Court
Behan,Wendy,M.,San Diego County Superior Court
Behar,Lori,R,Los Angeles County Superior Court
Behar,Lori,R,Los Angeles County Superior Court
Behnke,John,A,Mendocino County Superior Court
Bejarano,Marissa,A.,San Diego County Superior Court
Bell,Michele,None,Orange County Superior Court
"Bell, Jr.",Charles,E.,San Diego County Superior Court
Belsky,Daniel,S,San Diego County Superior Court
Belsky,Daniel,S,San Diego County Superior Court
Beltramo,Shara,None,Contra Costa County Superior Court
Belz,David,L,Orange County Superior Court
Benavides,Jose,R,Kern County Superior Court
Bender,Thomas,L,Madera County Superior Court
Bendix,Helen,I,"Court of Appeal, Second District"
Bendix,Helen,I,Los Angeles County Superior Court
Bendorf,Melanie,K.,Yuba County Superior Court
Benjamini,Dean,None,Riverside County Superior Court
Benjamini,Dean,None,Riverside County Superior Court
Benjamini,Emily,None,Riverside County Superior Court
Benjamini,Emily,None,Riverside County Superior Court
Benke,Patricia,None,"Court of Appeal, Fourth District"
Bennett,Francis,B,Los Angeles County Superior Court
Bennett,Francis,B,Los Angeles County Superior Court
Bennett,Jeffrey,G,Ventura County Superior Court
Bennett,Jeffrey,G,Ventura County Superior Court
Bennett,Teresa,S,San Bernardino County Superior Court
Bennett,Teresa,S,San Bernardino County Superior Court
Bensinger,Kerry,R,Los Angeles County Superior Court
Bensinger,Kerry,R,Los Angeles County Superior Court
Benson,Stephen,E,Butte County Superior Court
Bereola,Gail,B,Alameda County Superior Court
Berger,David,A,Los Angeles County Superior Court
Berger,David,A,Los Angeles County Superior Court
Berger,David,A,Los Angeles County Superior Court
Bergeron,Joseph,E.,San Mateo County Superior Court
Berle,Elihu,M,Los Angeles County Superior Court
Berle,Elihu,M,Los Angeles County Superior Court
Bermudez,Angel,M,Riverside County Superior Court
Bermudez,Angel,M,Riverside County Superior Court
Bermudez,Eran,M,Imperial County Superior Court
Bernal,Margaret,M,Los Angeles County Superior Court
Bernal,Margaret,M,Los Angeles County Superior Court
Bernal,Paul,R,Santa Clara County Superior Court
Bernal,Paul,R,Santa Clara County Superior Court
Beronio,Janene,None,Yolo County Superior Court
Berrier,Stephen,W,Yuba County Superior Court
Berry,David,L,San Diego County Superior Court
Berry,David,L,San Diego County Superior Court
Bershon,Nicole,C,Los Angeles County Superior Court
Bershon,Nicole,C,Los Angeles County Superior Court
Bertoli,James,G,Sonoma County Superior Court
Bessey,Shawn,D,Stanislaus County Superior Court
Bianco,D. Brett,None,Los Angeles County Superior Court
Bianco,D. Brett,None,Los Angeles County Superior Court
Bianco,James,N,Los Angeles County Superior Court
Bianco,James,N,Los Angeles County Superior Court
Bianco,John,P,Tulare County Superior Court
Bicego,JoAnn,M,Siskiyou County Superior Court
Bigelow,Molly,A,Shasta County Superior Court
Bigelow,Molly,A,Shasta County Superior Court
Bigelow,Patricia,A,"Court of Appeal, Second District"
Biggs,Carlton,P.,Orange County Superior Court
Bilash,Colin,J,San Bernardino County Superior Court
Birchak,Frank,L,San Diego County Superior Court
Birchak,Frank,L,San Diego County Superior Court
Bird,George,F,Los Angeles County Superior Court
Bird,George,F,Los Angeles County Superior Court
Birkmeyer,Laura,J,San Diego County Superior Court
Birkmeyer,Laura,J,San Diego County Superior Court
Bishay,Michael,None,Alameda County Superior Court
Black,Donald,None,Fresno County Superior Court
Black,Donald,None,Fresno County Superior Court
Blackman,Clifford,None,Napa County Superior Court
Blackshaw,Julie,F,Los Angeles County Superior Court
Blackshaw,Julie,F,Los Angeles County Superior Court
Blades,Steven,D,Los Angeles County Superior Court
Blades,Steven,D,Los Angeles County Superior Court
Blakely,Clifford,T.,Alameda County Superior Court
Blancarte,James,E,Los Angeles County Superior Court
Blancarte,James,E,Los Angeles County Superior Court
Blanchard,B. Kathleen,None,Los Angeles County Superior Court
Blanchard,B. Kathleen,None,Los Angeles County Superior Court
Blanco,Alicia,Y,Los Angeles County Superior Court
Blea,Dale,J,Madera County Superior Court
Blea III,Jacob,None,Alameda County Superior Court
Blease,Coleman,None,"Court of Appeal, Third District"
Blecher,Brooke,A.,Santa Clara County Superior Court
Blecher,Brooke,A.,Santa Clara County Superior Court
Blizzard,Thadd,A,Sacramento County Superior Court
Blizzard,Thadd,A,Sacramento County Superior Court
Bloom,Jay,M,San Diego County Superior Court
Bloom,Jay,M,San Diego County Superior Court
Bloom,Richard,H,Los Angeles County Superior Court
Blum,Andrew,S,Lake County Superior Court
Blumenfeld,Stan,None,Los Angeles County Superior Court
Blumenfeld,Stan,None,Los Angeles County Superior Court
Bocanegra,Arthur,None,Santa Clara County Superior Court
Bocanegra,Arthur,None,Santa Clara County Superior Court
Boccone-Gallo,Juliet,L,Tulare County Superior Court
Boessenecker,Mark,None,Napa County Superior Court
Bogdanoff,Lee,None,Los Angeles County Superior Court
Bogert,Tami,R,Sacramento County Superior Court
Bolanos,Suzanne,R,San Francisco County Superior Court
Bolanos,Suzanne,R,San Francisco County Superior Court
Bondonno,Franklin,E,Santa Clara County Superior Court
Bondonno,Franklin,E,Santa Clara County Superior Court
Bonilla,David,None,Sacramento County Superior Court
Bonini,Griffin,None,Santa Clara County Superior Court
Borack,Jerilyn,L,Sacramento County Superior Court
Borack,Jerilyn,L,Sacramento County Superior Court
Boren,Roger,W,"Court of Appeal, Second District"
Borenstein,Mark,A,Los Angeles County Superior Court
Borjon,Keith,H,Los Angeles County Superior Court
Bork,Terry,A,Los Angeles County Superior Court
Borkon,Peter,E.,Alameda County Superior Court
Borrell,Mark,S,Ventura County Superior Court
Borris,Thomas,None,Orange County Superior Court
Boscoe,James,A,Tuolumne County Superior Court
Bosley,Gia,None,Los Angeles County Superior Court
Bostwick,Jeffrey,S,San Diego County Superior Court
Bostwick,Jeffrey,S,San Diego County Superior Court
Bottke,C. Todd,None,Tehama County Superior Court
Boulware Eurie,Stacy,E,Sacramento County Superior Court
Boulware Eurie,Stacy,E,Sacramento County Superior Court
Boulware Eurie,Stacy,E,"Court of Appeal, Third District"
Boulware Eurie,Stacy,E,"Court of Appeal, Third District"
Bourne,Beverly,L,Los Angeles County Superior Court
Bourne,Beverly,L,Los Angeles County Superior Court
Bovee,Guy,None,San Bernardino County Superior Court
Bovee,Guy,None,San Bernardino County Superior Court
Bowen,Christopher,R,Contra Costa County Superior Court
Bowen,Colin,T.,Alameda County Superior Court
Bowers,Lauren,C,El Dorado County Superior Court
Bowers,Robert,S,Solano County Superior Court
Bowick,Stephanie,M,Los Angeles County Superior Court
Bowman,Blaine,K,San Diego County Superior Court
Bowman,Blaine,K,San Diego County Superior Court
Bowman,Michael,G,Sacramento County Superior Court
Bowman,Michael,G,Sacramento County Superior Court
Boyd,Robert,S,Sonoma County Superior Court
Bradshaw,James,E,Kern County Superior Court
Bradstreet,Angela,M,San Francisco County Superior Court
Brady,Laurel,S,Contra Costa County Superior Court
Brady,Laurel,S,Contra Costa County Superior Court
Brako,Karen,A.,Los Angeles County Superior Court
Brand,Jeffrey,S,Alameda County Superior Court
Brandlin,James,R,Los Angeles County Superior Court
Brandolino,Joseph,None,Los Angeles County Superior Court
Brandolino,Joseph,None,Los Angeles County Superior Court
Braner,Matthew,C,San Diego County Superior Court
Braner,Matthew,C,San Diego County Superior Court
Brannigan,Joseph,P,San Diego County Superior Court
Brannigan,Joseph,P,San Diego County Superior Court
Brazil,Deborah,S,Los Angeles County Superior Court
Brazil,Deborah,S,Los Angeles County Superior Court
Brazile,Kevin,C,Los Angeles County Superior Court
Brazile,Kevin,C,Los Angeles County Superior Court
Breall,Susan,None,San Francisco County Superior Court
Breall,Susan,None,San Francisco County Superior Court
Brehmer,Charles,R,Kern County Superior Court
Brehmer,Charles,R,Kern County Superior Court
Brennan,Clayton,L,Mendocino County Superior Court
Brickey,Gabriel,Leonard,Fresno County Superior Court
Brickey,Gabriel,Leonard,Fresno County Superior Court
Broadbelt III,Robert,B,Los Angeles County Superior Court
Broadbelt III,Robert,B,Los Angeles County Superior Court
Broderick,Patrick,M,Sonoma County Superior Court
Broderick,Patrick,M,Sonoma County Superior Court
Brodie,Bruce,None,Los Angeles County Superior Court
Brodie,Bruce,None,Los Angeles County Superior Court
Brodie,Kyle,S,San Bernardino County Superior Court
Brody,Kenneth,N,Sacramento County Superior Court
Brody,Kenneth,N,Sacramento County Superior Court
Bromberg,Daniel,H,"Court of Appeal, Sixth District"
Bromberg,Steve,None,Orange County Superior Court
Bromberg,Steve,None,Orange County Superior Court
Brooks,Nelson,K,El Dorado County Superior Court
Brosnahan,Carol,None,Alameda County Superior Court
Brougham,Cathryn,F,Los Angeles County Superior Court
Brougham,Cathryn,F,Los Angeles County Superior Court
Brougham,David,C,Los Angeles County Superior Court
Brower,Matthew,R,San Diego County Superior Court
Brower,Matthew,None,San Diego County Superior Court
Brown,David,G,San Diego County Superior Court
Brown,David,I,Sacramento County Superior Court
Brown,David,G,San Diego County Superior Court
Brown,Gerard,S,San Bernardino County Superior Court
Brown,Irma,J,Los Angeles County Superior Court
Brown,Jacki,C,Orange County Superior Court
Brown,Kevin,L,Los Angeles County Superior Court
Brown,Lawrence,G,Sacramento County Superior Court
Brown,Leslie,E,Los Angeles County Superior Court
Brown,Leslie,E,Los Angeles County Superior Court
Brown,Lynnette,None,Sonoma County Superior Court
Brown,Raymond,Earl,Orange County Superior Court
Brown,Shelyna,V,Santa Clara County Superior Court
Brown,Shelyna,V,Santa Clara County Superior Court
Brown,Tracie,L,San Francisco County Superior Court
Brown,Tracie,L,"Court of Appeal, First District"
Brown,Tracie,L,"Court of Appeal, First District"
Brownlee,John,R,Kern County Superior Court
Bruce-Lyle,Desiree,A,San Diego County Superior Court
Bruce-Lyle,Desiree,A,San Diego County Superior Court
Bruguera,Suzanne,G,Los Angeles County Superior Court
Bruiniers,Terence,L,"Court of Appeal, First District"
Brumfield,Lorna,H,Kern County Superior Court
Bryant,Anita,Starchman,Mariposa County Superior Court
Bryant-Deason,Susan,None,Los Angeles County Superior Court
Bubis,Gary,M,San Diego County Superior Court
Bubis,Gary,M,San Diego County Superior Court
Buchanan,Martin,Nebrida,"Court of Appeal, Fourth District"
Buchwald,Gerald,J,San Mateo County Superior Court
Buckelew,Brian,J,Santa Clara County Superior Court
Buckelew,Brian,J,Santa Clara County Superior Court
Buckley,Daniel,J,Los Angeles County Superior Court
Buddle Jr.,Donald,None,Los Angeles County Superior Court
Buehner,Charmaine,H,Ventura County Superior Court
Buehner,Charmaine,H,Ventura County Superior Court
Burch,Charles,B,Contra Costa County Superior Court
Burdge Jr.,Richard,J,Los Angeles County Superior Court
Burdick,Paul,P,Santa Cruz County Superior Court
Burdick,Paul,P,Santa Cruz County Superior Court
Burger-Plavan,Trena,H,Sacramento County Superior Court
Burger-Plavan,Trena,H,Sacramento County Superior Court
Burgess,Jody,M,Shasta County Superior Court
Burgess,Jody,M,Shasta County Superior Court
Burgess,Rhonda,N,Alameda County Superior Court
Burghardt,Joseph,J.,Los Angeles County Superior Court
Burghardt,Joseph,J.,Los Angeles County Superior Court
Burlison,Robert,A,Monterey County Superior Court
Burlison,Robert,A,Monterey County Superior Court
Burnham Marquez,Raymonda,K,Kern County Superior Court
Burns,Gordon,B,"Court of Appeal, First District"
Burns,Robert,S,Kings County Superior Court
Busch,Peter,J,San Francisco County Superior Court
Bush,Michael,None,Kern County Superior Court
Bush,Michael,None,Kern County Superior Court
Bustamante,Manuel Jr.,None,Riverside County Superior Court
Butler,Pamela,L,Monterey County Superior Court
Butler,Pamela,L,Monterey County Superior Court
Butz,M. Kathleen,None,"Court of Appeal, Third District"
Byrd,Christine,None,Los Angeles County Superior Court
Byrd,Christine,None,Los Angeles County Superior Court
Byrd,Donald,C,Glenn County Superior Court
Byrdsong,Rupert,A,Los Angeles County Superior Court
Byrum,Maria,None,Los Angeles County Superior Court
Bysshe,Frederick,H,Ventura County Superior Court
Cabrera,Carlos,M,San Bernardino County Superior Court
Cadei,Raymond,M,Sacramento County Superior Court
Cadet,Chinhayi,None,San Mateo County Superior Court
Cadet,Chinhayi,None,San Mateo County Superior Court
Caffese,Teresa,M.,San Francisco County Superior Court
Cahraman,Thomas,H,Riverside County Superior Court
Caietti,Carolyn,M,San Diego County Superior Court
Caietti,Carolyn,M,San Diego County Superior Court
Calabretta,Daniel,J.,Sacramento County Superior Court
Calabretta,Daniel,J.,Sacramento County Superior Court
Calegari,Troye,Kendall,Sonoma County Superior Court
Calegari,Troye,Kendall,Sonoma County Superior Court
Calero,Alexander,M,San Diego County Superior Court
Calvillo,Noel,A.,Sacramento County Superior Court
Camacho,Marcos,R,Kern County Superior Court
Camacho,Mike,None,Los Angeles County Superior Court
Camacho,Mike,None,Los Angeles County Superior Court
Camarena,Enrique,None,San Diego County Superior Court
Camarena,Enrique,None,San Diego County Superior Court
Camber,Michael,A.,San Bernardino County Superior Court
Cameron,Victoria,E,Riverside County Superior Court
Campagna,Anthony,J.,San Diego County Superior Court
Campagna,Anthony,J.,San Diego County Superior Court
Campbell,Andre,None,Sacramento County Superior Court
Campbell,Hallie,G.,Tuolumne County Superior Court
Campins,Julia,None,Contra Costa County Superior Court
Campins,Julia,None,Contra Costa County Superior Court
Campos,Yvonne,E,San Diego County Superior Court
Campos,Yvonne,E,San Diego County Superior Court
Candela,Michael,P,Butte County Superior Court
Canepa,Theresa,J,Contra Costa County Superior Court
Canepa,Theresa,J,Contra Costa County Superior Court
Canning,Timothy,None,Humboldt County Superior Court
Canning,Timothy,None,Humboldt County Superior Court
Cannon,Gloria,J.,Kern County Superior Court
Cannon,Gloria,J.,Kern County Superior Court
Cano,Rachel,None,San Diego County Superior Court
Cano,Rachel,None,San Diego County Superior Court
Cantil-Sakauye,Tani,G,Supreme Court of California
Caraway,Corie,J,Butte County Superior Court
Cardoza,Jane,None,Fresno County Superior Court
Cardoza,Jane,None,Fresno County Superior Court
Carrillo,Debra,D,Orange County Superior Court
Carrillo,Debra,D,Orange County Superior Court
Carrillo,Jared,Temujin,Stanislaus County Superior Court
Carringer,Christine,A,Solano County Superior Court
Carringer,Christine,A,Solano County Superior Court
Carrozzo,Michael,J,Santa Barbara County Superior Court
Carter,Amy,None,Los Angeles County Superior Court
Carter,Amy,None,Los Angeles County Superior Court
Carter,Michael,D,Los Angeles County Superior Court
Carter,Michael,D,Los Angeles County Superior Court
Carvill,Wynne,S,Alameda County Superior Court
Casserly,Timothy,M,San Diego County Superior Court
Casserly,Timothy,M,San Diego County Superior Court
Cassidy,Alan,K,Stanislaus County Superior Court
Cassidy,Michael,J,Orange County Superior Court
Castillo,Jose,Scher,San Diego County Superior Court
Castillo,Jose,Scher,San Diego County Superior Court
Castillo,Michele,M,Ventura County Superior Court
Castro,Arturo,None,Alameda County Superior Court
Cathcart,Patrick,A,Los Angeles County Superior Court
Cavalluzzi,Maria,None,Los Angeles County Superior Court
Cavalluzzi,Maria,None,Los Angeles County Superior Court
Caves,Michael,Arthur,Kern County Superior Court
Caves,Michael,Arthur,Kern County Superior Court
Cena,David,A,Santa Clara County Superior Court
Cena,David,A,Santa Clara County Superior Court
Cha,Jessica,B.,Orange County Superior Court
